,TERM,COST,MEAN
182,anew,15.99,15.99
183,angel,49.0,49.0
184,angels,34.99,34.99
185,anger,4.9,4.9
186,angling,199.99,199.99
187,angrier,19.99,19.99
188,angry,9.39,9.39
189,animals,9.99,9.99
190,announce,39.99,39.99
191,annoying,49.99,49.99
192,annual,3.99,3.99
193,another,17.99,17.99
194,answer,60.15,60.15
195,answered,7.97,7.97
196,answers,29.99,29.99
197,anti,25.0,25.0
198,anticipating,105.0,105.0
199,any,14.99,14.99
200,anybody,9.99,9.99
201,anybody's,30.0,30.0
202,anymore,59.99,59.99
203,anyone,19.95,19.95
204,anything,14.95,14.95
205,anytime,"['$10.0', '$10.0', '$20.0', '$25.0', '$25.0', '$30.0', '$30.0', '$30.0', '$33.0', '$35.0', '$35.0', '$36.0', '$36.5', '$36.5', '$38.0', '$39.0', '$39.0', '$40.0', '$40.0', '$44.0', '$44.0', '$49.0', '$50.0', '$60.0', '$400.0', '$500.0']",66.73076923076923
206,anyway,4.49,4.49
207,anywhere,39.99,39.99
208,apart,150.0,150.0
209,apartment,29.99,29.99
210,apartments,13.88,13.88
211,apologize,14.44,14.44
212,apology,$8.0,8.0
213,apparently,"['$25.0', '$45.0', '$59.99', '$69.99', '$69.99', '$69.99', '$70.0', '$250.0']",82.495
214,appeared,34.24,34.24
215,applause,29.99,29.99
216,apple,449.99,449.99
217,apples,"['$1.0', '$1.15', '$1.18', '$15.0', '$22.0', '$26.0', '$30.0', '$35.0', '$100.0', '$800.0', '$999.0']",184.57545454545453
218,application,6.21,6.21
219,applications,43.62,43.62
220,applied,26.89,26.89
221,applies,0.01,0.01
222,apply,12.99,12.99
223,applying,23.46,23.46
224,appreciate,18.99,18.99
225,appreciated,3.95,3.95
226,appreciating,7.94,7.94
227,appreciation,4.99,4.99
228,appreciative,9.0,9.0
229,approach,74.99,74.99
230,approached,149.99,149.99
231,approaching,11.75,11.75
232,appropriate,2.46,2.46
233,appropriately,4.49,4.49
234,approve,79.99,79.99
235,approximately,"['$2.0', '$100.0', '$300.0', '$900.0']",325.5
236,architect,34.95,34.95
237,architecture,30.0,30.0
238,archive,59.99,59.99
239,archived,59.99,59.99
240,are,16.98,16.98
241,area,59.99,59.99
242,areas,14.99,14.99
243,aren't,,
244,argentine,51.53,51.53
245,arguably,17.17,17.17
246,argue,$20.0,20.0
247,argument,3.0,3.0
248,arm,8.99,8.99
249,arms,31.0,31.0
250,army,13.99,13.99
251,around,69.94,69.94
252,arrange,19.99,19.99
253,arranging,"['$15.0', '$55.0', '$85.0', '$350.0', '$700.0']",241.0
254,arrived,10.99,10.99
255,art,39.51,39.51
256,arteries,16.75,16.75
257,article,1100.0,1100.0
258,articles,1.99,1.99
259,articulate,"['$1.0', '$1.0', '$1.0', '$149.0', '$299.0', '$299.0', '$499.0', '$599.0', '$649.0', '$999.0', '$999.0', '$999.0', '$999.0']",499.46153846153845
260,artifacts,62.0,62.0
261,artificial,13.99,13.99
262,artist,7.02,7.02
263,artists,13.08,13.08
264,arts,12.95,12.95
265,artwork,30.0,30.0
266,as,"['$1.0', '$1.0', '$1.25', '$2.46', '$2.51', '$2.52', '$2.54', '$309.0']",40.285
267,ascended,39.88,39.88
268,ashamed,,
269,aside,1.0,1.0
270,ask,7.38,7.38
271,asked,14.44,14.44
272,asking,$61.0,61.0
273,asks,14.99,14.99
274,aspect,$1595.0,1595.0
275,aspire,"['$1.0', '$2.0', '$3.0', '$20.0', '$50.0', '$75.0', '$300.0', '$399.0', '$1359.0']",245.44444444444446
276,ass,12.89,12.89
277,assemble,32.99,32.99
278,assess,10.0,10.0
279,asset,5.0,5.0
280,assets,18.0,18.0
281,assigned,39.99,39.99
282,associate,5.99,5.99
283,associates,13.0,13.0
284,association,5.0,5.0
285,assume,5.4,5.4
286,assuming,"['$2.0', '$4.5']",3.25
287,assumption,10.0,10.0
288,assumptions,3.31,3.31
289,assurance,14.0,14.0
290,assure,59.8,59.8
291,at,269.98,269.98
292,ate,21.0,21.0
293,athlete,49.99,49.99
294,athletes,9.9,9.9
295,atomic,59.0,59.0
296,atrium,149.0,149.0
297,attach,69.99,69.99
298,attached,12.37,12.37
299,attack,8.8,8.8
300,attacked,4.0,4.0
301,attain,500.0,500.0
302,attempt,"['$1.0', '$1.0', '$2.0', '$19.5', '$19.5', '$529.0', '$579.0']",164.42857142857142
303,attend,75.0,75.0
304,attendance,32.79,32.79
305,attended,1.59,1.59
306,attention,4.95,4.95
307,attitude,214.97,214.97
308,attitudes,25.0,25.0
309,attorney,16.99,16.99
310,attorneys,13.53,13.53
311,attract,7.99,7.99
312,attracting,4.76,4.76
313,attracts,4.99,4.99
314,attributes,4.09,4.09
315,attrition,5.0,5.0
316,audience,69.0,69.0
317,audio,39.99,39.99
318,authentic,210.0,210.0
319,author,23.36,23.36
320,authority,2.75,2.75
321,authors,3.0,3.0
322,autobiography,8.99,8.99
323,automate,15.99,15.99
324,automated,19.99,19.99
325,automates,7.0,7.0
326,automatically,328.06,328.06
327,available,14.95,14.95
328,average,9.99,9.99
329,averages,12.79,12.79
330,aversions,15.99,15.99
331,avery,63.0,63.0
332,avoid,9.99,9.99
333,avoiding,9.99,9.99
334,awake,18.9,18.9
335,awarded,,
336,aware,14.0,14.0
337,awareness,39.95,39.95
338,away,199.99,199.99
339,awe,700.0,700.0
340,awesome,17.99,17.99
341,awful,13.0,13.0
342,awfully,13.95,13.95
343,awhile,"['$21.0', '$21.0', '$28.0', '$29.5', '$39.0', '$41.0', '$43.0', '$44.5', '$55.0', '$135.0', '$135.0', '$180.0', '$180.0', '$180.0']",80.85714285714286
344,awkward,9.75,9.75
345,babies,6.99,6.99
346,baby,12.79,12.79
347,babysitter,42.95,42.95
348,back,10.99,10.99
349,backed,24.95,24.95
350,background,14.95,14.95
351,backgrounds,14.95,14.95
352,backing,10.0,10.0
353,backs,2.79,2.79
354,backup,22.79,22.79
355,backwards,219.95,219.95
356,bad,145.0,145.0
357,bag,13.79,13.79
358,baggage,178.99,178.99
359,bailed,29.5,29.5
360,bailouts,6.99,6.99
361,bake,6.99,6.99
362,baked,9.88,9.88
363,baker,149.99,149.99
364,balance,27.0,27.0
365,ball,28.0,28.0
366,ballet,7.99,7.99
367,band,7.99,7.99
368,bandwidth,349.0,349.0
369,bank,"['$0.0', '$0.0', '$0.0', '$1.0', '$2.0', '$10.0', '$500.0', '$500.0']",126.625
370,bank's,17.59,17.59
371,banker,50.59,50.59
372,bankers,50.59,50.59
373,banking,29.99,29.99
374,bankrupt,15.96,15.96
375,bankruptcies,14.99,14.99
376,bankruptcy,7.98,7.98
377,banks,9.95,9.95
378,banner,14.99,14.99
379,bar,149.89,149.89
380,barbecue,38.99,38.99
381,barbell,72.99,72.99
382,barely,9.36,9.36
383,barrel,"['$0.0', '$3.32', '$3.39', '$3.6', '$22.54', '$22.94', '$23.36', '$27.67', '$28.36', '$30.0', '$50.0']",19.561818181818182
384,base,4.78,4.78
385,baseball,7.95,7.95
386,baseboards,"['$0.6', '$0.6', '$0.69', '$1.0', '$1.2', '$1.2', '$1.79', '$1.82', '$2.0', '$3.0', '$3.0', '$3.23', '$4.0', '$4.0', '$4.5', '$5.75', '$6.0', '$8.94', '$30.0', '$30.0', '$35.0', '$50.0', '$50.0', '$65.0', '$70.0', '$70.0', '$75.0', '$170.0', '$195.0', '$300.0', '$325.0', '$345.0', '$350.0', '$450.0', '$560.0', '$570.0', '$1000.0', '$1500.0', '$1700.0', '$18618.0']",665.2830000000001
387,based,12.25,12.25
388,basement,72.99,72.99
389,basic,16.59,16.59
390,basically,8.99,8.99
391,basics,15.99,15.99
392,basil's,29.98,29.98
393,basis,661.88,661.88
394,basketball,13.0,13.0
395,bassist,148.99,148.99
396,bastard,17.99,17.99
397,batching,95000.0,95000.0
398,bath,9.99,9.99
399,bathrooms,9.99,9.99
400,battle,24.95,24.95
401,bay,48.0,48.0
402,be,14.34,14.34
403,beach,16.98,16.98
404,beacon,45.12,45.12
405,bean,1.99,1.99
406,bear,37.95,37.95
407,bearish,11.99,11.99
408,beat,149.0,149.0
409,beaten,4.08,4.08
410,beating,4.49,4.49
411,beats,149.0,149.0
412,beautiful,39.23,39.23
413,beauty,9.99,9.99
414,became,33.68,33.68
415,because,7.99,7.99
416,become,14.99,14.99
417,becomes,5.59,5.59
418,becoming,3.49,3.49
419,bed,84.99,84.99
420,bedroom,9.99,9.99
421,been,20.0,20.0
422,beep,119.0,119.0
423,before,4.99,4.99
424,began,9.06,9.06
425,begged,9.74,9.74
426,begin,15.79,15.79
427,beginner,2.69,2.69
428,beginning,14.35,14.35
429,begins,3.45,3.45
430,behave,9.87,9.87
431,behavior,6.09,6.09
432,behind,"['$3.99', '$3.99', '$4.0']",3.9933333333333336
433,being,37.99,37.99
434,beings,1.99,1.99
435,belief,18.2,18.2
436,beliefs,2.99,2.99
437,believe,19.39,19.39
438,believed,4.49,4.49
439,believer,9.94,9.94
440,believes,10.0,10.0
441,believing,4.13,4.13
442,bell,27.99,27.99
443,belong,96.0,96.0
444,below,34.77,34.77
445,belt,11.99,11.99
446,beneficial,35.24,35.24
447,benefit,9.99,9.99
448,benefits,9.99,9.99
449,best,7.99,7.99
450,bet,4.99,4.99
451,bethe,"['$32.0', '$23742.0', '$51700.0', '$206800.0']",70568.5
452,bets,35.0,35.0
453,better,1.49,1.49
454,between,20.0,20.0
455,beware,34.49,34.49
456,beyond,91.0,91.0
457,bi,6.95,6.95
458,bicycle,269.0,269.0
459,bid,8.79,8.79
460,bidding,1.0,1.0
461,big,54.75,54.75
462,bigger,9.95,9.95
463,biggest,15.49,15.49
464,bike,269.0,269.0
465,bill,12.55,12.55
466,billion,,
467,billionaire,49.59,49.59
468,billions,9.0,9.0
469,bills,29.49,29.49
470,binge,14.75,14.75
471,births,30.2,30.2
472,bit,23.99,23.99
473,bitch,9.99,9.99
474,bite,9.99,9.99
475,bites,6.39,6.39
476,bizarre,8.49,8.49
477,black,"['$20.0', '$29.99']",24.995
478,blah,5.99,5.99
479,blaming,12.94,12.94
480,blank,5.25,5.25
481,blenders,63.99,63.99
482,blending,5.63,5.63
483,blessed,12.95,12.95
484,blessing,40.0,40.0
485,blessings,$9.0,9.0
486,blew,63.99,63.99
487,blindly,4.99,4.99
488,blinds,"['$1.0', '$1.0', '$1.0', '$4.0', '$15.0', '$20.0', '$80.0', '$119.0', '$200.0', '$211.0', '$400.0', '$640.0', '$650.0', '$695.0']",216.92857142857144
489,blissful,9.95,9.95
490,block,34.95,34.95
491,blocked,94.99,94.99
492,blocking,10.99,10.99
493,blocks,23.99,23.99
494,blog,10.0,10.0
495,blogging,1.0,1.0
496,blood,8.99,8.99
497,bloom,19.99,19.99
498,blow,3.97,3.97
499,blowing,"['$3.0', '$7.0', '$8.0', '$9.0', '$9.0', '$20.0', '$22.0', '$45.0', '$50.0', '$50.0', '$75.0', '$125.0', '$125.0', '$141.0', '$175.0', '$181.0', '$192.0', '$247.0', '$253.0', '$291.0', '$342.0', '$413.0', '$500.0', '$539.0', '$950.0']",190.88
500,blown,50.0,50.0
501,blows,"['$1.0', '$3.67', '$4.11', '$20.0']",7.195
502,blue,15.99,15.99
503,bluetooth,24.99,24.99
504,blunt,17.99,17.99
505,blurred,10.75,10.75
506,blurt,14.49,14.49
507,board,35.99,35.99
508,boards,"['$0.58', '$0.75', '$0.88', '$1.9', '$3.0', '$3.0', '$3.62', '$3.7', '$4.0', '$4.0', '$4.44', '$4.72', '$5.37', '$5.89', '$5.94', '$5.98', '$6.0', '$6.0', '$6.87', '$6.98', '$7.0', '$7.22', '$7.98', '$8.77', '$9.29', '$10.0', '$10.0', '$10.0', '$10.0', '$10.0', '$10.24', '$10.72', '$11.41', '$12.0', '$15.0', '$16.0', '$20.0', '$20.0', '$20.0', '$20.0', '$20.0', '$22.0', '$30.0', '$32.0', '$36.0']",10.427777777777775
509,boat,"['$3.0', '$20.0', '$25.0', '$50.0', '$100.0', '$100.0', '$500.0']",114.0
510,bodies,29.97,29.97
511,body,17.79,17.79
512,boiled,75.0,75.0
513,boils,17.99,17.99
514,bomb,16.95,16.95
515,bond,6.99,6.99
516,bonds,2.75,2.75
517,bone,21.99,21.99
518,bonus,13.72,13.72
519,bonuses,517.75,517.75
520,boob,22.94,22.94
521,boogie,20.49,20.49
522,book,22.9,22.9
523,bookkeeper,"['$0.25', '$3.0', '$4.0', '$5.0', '$15.6', '$16.77', '$17.72', '$18.0', '$19.93', '$20.0', '$20.0', '$20.0', '$23.0', '$25.0', '$36.0', '$40.0', '$50.0', '$50.0', '$50.0', '$50.0', '$64.0', '$75.0', '$80.0', '$89.0', '$150.0', '$300.0', '$450.0', '$692.0', '$700.0', '$973.0']",135.24233333333333
524,books,22.9,22.9
525,boom,45.99,45.99
526,boost,122.99,122.99
527,booth,100.0,100.0
528,border,5.99,5.99
529,borders,"['$0.0', '$0.0', '$2.0', '$2.33', '$2.48', '$3.0', '$5.0', '$6.0', '$9.0', '$10.0', '$20.82', '$26.22', '$30.0', '$55.0', '$57.5', '$60.0', '$62.5', '$86.0', '$115.0', '$118.0', '$122.5', '$125.5', '$139.0', '$521.0', '$655.0']",89.354
530,bored,24.99,24.99
531,boring,"['$0.75', '$0.8', '$1.0', '$1.0', '$1.0', '$1.75', '$2.25', '$2.5', '$4.0', '$4.0', '$6.0', '$7.0', '$8.0', '$9.5', '$10.0', '$12.0', '$12.0', '$35.0', '$42.5', '$80.0', '$250.0', '$271.0', '$400.0', '$400.0', '$400.0', '$800.0', '$800.0']",131.92777777777778
532,born,$50.0,50.0
533,borrow,7.99,7.99
534,borrowed,3.5,3.5
535,borrowing,1.19,1.19
536,boss,38.0,38.0
537,both,8.23,8.23
538,bother,5.25,5.25
539,bothering,9.99,9.99
540,bottle,17.95,17.95
541,bottom,7.99,7.99
542,bought,2.49,2.49
543,bounce,459.0,459.0
544,bounced,35.99,35.99
545,bounces,459.0,459.0
546,bouncing,459.0,459.0
547,boundaries,4.14,4.14
548,boundary,69.99,69.99
549,bout,19.99,19.99
550,bowling,48.99,48.99
551,box,45.99,45.99
552,boxes,14.95,14.95
553,boy,12.99,12.99
554,boyfriend,9.73,9.73
555,boyfriends,2.95,2.95
556,boys,5.99,5.99
557,bracket,24.29,24.29
558,brackets,22.99,22.99
559,brain,12.82,12.82
560,brains,16.9,16.9
561,brainstorm,18.24,18.24
562,brainstorming,12.5,12.5
563,brakes,151.24,151.24
564,brand,29.99,29.99
565,brands,29.99,29.99
566,brave,"['$3.2', '$60.0', '$70.0', '$224.0']",89.3
567,breadth,64.99,64.99
568,break,9.99,9.99
569,breakdown,4.99,4.99
570,breakfast,39.0,39.0
571,breaking,9.0,9.0
572,breaks,4.0,4.0
573,breakthroughs,28.79,28.79
574,breathe,16.99,16.99
575,breathes,14.97,14.97
576,breathing,7.89,7.89
577,bribe,14.99,14.99
578,bridge,19.59,19.59
579,brief,18.49,18.49
580,bright,12.99,12.99
581,brighter,10.5,10.5
582,brilliance,24.99,24.99
583,brilliant,20.45,20.45
584,bring,9.95,9.95
585,bringing,4.95,4.95
586,brings,2.95,2.95
587,broadcast,79.99,79.99
588,broader,11.82,11.82
589,broke,10.99,10.99
590,broken,12.55,12.55
591,brokerages,4.65,4.65
592,brokers,45.0,45.0
593,brother,179.99,179.99
594,brothers,13.7,13.7
595,brought,15.0,15.0
596,browsing,11.99,11.99
597,brush,8.99,8.99
598,bubble,20.98,20.98
599,bubbles,7.95,7.95
600,buck,44.99,44.99
601,bucket,7.99,7.99
602,bucks,5.95,5.95
603,buddies,3.59,3.59
604,budget,18.98,18.98
605,bug,32.99,32.99
606,build,"['$1.0', '$1.28', '$2.0', '$8.0', '$12.0', '$15.0', '$17.0', '$22.0', '$22.0', '$31.0', '$39.0', '$40.0', '$100.0', '$125.0', '$155.0', '$155.0', '$166.0', '$178.0', '$200.0', '$248.0', '$250.0', '$270.0', '$300.0', '$300.0', '$303.0', '$350.0', '$400.0', '$416.0', '$428.0', '$474.0', '$500.0', '$540.0', '$600.0', '$155000.0', '$248000.0']",11704.808
607,building,"['$1.0', '$2.0', '$3.0', '$5.0', '$7.0', '$9.0', '$10.0', '$15.0', '$16.0', '$16.0', '$17.0', '$18.0', '$19.0', '$19.0', '$20.0', '$20.0', '$20.0', '$24.0', '$80.0', '$90.0', '$135.33', '$168.14', '$200.0', '$200.0', '$200.0', '$200.95', '$300.0', '$380.0', '$500.0', '$600.0', '$625.0', '$9999.0']",434.981875
608,buildings,6.0,6.0
609,builds,1.5,1.5
610,buildup,9.99,9.99
611,built,16.99,16.99
612,bulky,13.91,13.91
613,bull,33.89,33.89
614,bullet,39.99,39.99
615,bullied,3.5,3.5
616,bullish,10.97,10.97
617,bullshit,5.99,5.99
618,bully,21.99,21.99
619,bump,10.99,10.99
620,bumps,5.84,5.84
621,bumptious,$10.0,10.0
622,bunch,16.97,16.97
623,bureau,130.9,130.9
624,bureaucratic,4.3,4.3
625,buried,11.99,11.99
626,burst,42.88,42.88
627,bury,64.95,64.95
628,business,87.95,87.95
629,businesses,3600.0,3600.0
630,bust,29.99,29.99
631,busted,5.99,5.99
632,busy,19.95,19.95
633,busyness,4.49,4.49
634,but,12.98,12.98
635,butt,16.99,16.99
636,button,8.47,8.47
637,buttons,"['$0.16', '$0.43', '$0.44', '$0.61', '$0.62', '$0.81', '$0.82', '$1.0', '$1.0', '$4.99', '$7.5']",1.6709090909090911
638,butts,16.99,16.99
639,buy,1.68,1.68
640,buyers,128.09,128.09
641,buying,9.99,9.99
642,by,4.5,4.5
643,bye,14.39,14.39
644,bypassed,4.5,4.5
645,byproduct,29.99,29.99
646,cabs,2.94,2.94
647,cafeteria,"['$0.0', '$0.0', '$0.3', '$0.4', '$1.5', '$2.0', '$2.75', '$3.0', '$4.25']",1.5777777777777775
648,calculated,6.92,6.92
649,calendar,"['$4.99', '$7.98', '$8.99', '$10.0', '$24.99', '$49.98', '$50.0', '$81.35']",29.785
650,call,29.99,29.99
651,called,16.99,16.99
652,calling,300.0,300.0
653,calls,9.95,9.95
654,calm,12.98,12.98
655,calmly,24.99,24.99
656,calorie,20.5,20.5
657,came,"['$30.0', '$50.0', '$100.0', '$599.0']",194.75
658,camera,349.0,349.0
659,camp,7.99,7.99
660,campus,44.95,44.95
661,can,28.99,28.99
662,can't,,
663,canceled,24.65,24.65
664,canceling,179.99,179.99
665,cancer,6.99,6.99
666,candidate,27.0,27.0
667,cane,16.99,16.99
668,cannot,7.96,7.96
669,cap,7.95,7.95
670,capability,11.99,11.99
671,capable,"['$1.0', '$30.0', '$149.99', '$599.99', '$799.0']",315.996
672,capital,29.91,29.91
673,capitalism,14.0,14.0
674,capitalist,8.0,8.0
675,capitalized,2.5,2.5
676,capitals,9.71,9.71
677,caps,7.95,7.95
678,captivate,4.25,4.25
679,capture,15.65,15.65
680,car,6.99,6.99
681,carbon,52.99,52.99
682,card,7.0,7.0
683,cards,7.95,7.95
684,care,31.9,31.9
685,career,14.0,14.0
686,careful,4.49,4.49
687,carefully,10.5,10.5
688,cares,"['$5.0', '$6.0', '$432.0', '$500.0']",235.75
689,caring,7.97,7.97
690,carried,21.95,21.95
691,carriers,48.95,48.95
692,carries,30.0,30.0
693,carry,24.99,24.99
694,cars,4.99,4.99
695,carted,152.5,152.5
696,carton,31.45,31.45
697,cartoon,7.59,7.59
698,carve,17.99,17.99
699,carved,20.98,20.98
700,case,24.95,24.95
701,cases,7.99,7.99
702,cash,25.99,25.99
703,casual,10.37,10.37
704,catch,58.35,58.35
705,catches,58.35,58.35
706,catching,4.39,4.39
707,catchup,9.95,9.95
708,catchy,12.0,12.0
709,categories,17.55,17.55
710,categorize,8200.0,8200.0
711,category,214.99,214.99
712,cathartic,0.99,0.99
713,caught,5.99,5.99
714,cause,19.99,19.99
715,caused,5.75,5.75
716,causes,6.92,6.92
717,causing,,
718,cautious,2.0,2.0
719,ceiling,27.99,27.99
720,celebrate,19.75,19.75
721,celebrated,100.0,100.0
722,cell,48.95,48.95
723,cellars,10.99,10.99
724,cemetery,7.95,7.95
725,censor,5.0,5.0
726,censorship,19.76,19.76
727,census,14.99,14.99
728,center,49.99,49.99
729,centers,49.95,49.95
730,central,59.99,59.99
731,centralized,9.99,9.99
732,cents,9.13,9.13
733,century,179.99,179.99
734,certain,9.5,9.5
735,certainly,3.5,3.5
736,certificate,15.95,15.95
737,certification,36.0,36.0
738,chain,"['$5.0', '$10.0', '$15.0', '$20.0', '$20.0', '$20.0', '$40.0', '$484.88', '$1300.0']",212.76444444444442
739,chains,11.99,11.99
740,chair,52.99,52.99
741,challenge,37.0,37.0
742,challenged,99.99,99.99
743,challenges,80.99,80.99
744,challenging,2.99,2.99
745,champion,10.09,10.09
746,chance,106.95,106.95
747,chances,5.99,5.99
748,change,9.99,9.99
749,changed,8.06,8.06
750,changes,23.99,23.99
751,changing,17.0,17.0
752,channel,89.99,89.99
753,chant,4.39,4.39
754,chaos,14.0,14.0
755,character,14.99,14.99
756,characterization,55.75,55.75
757,characters,9.0,9.0
758,charge,10.49,10.49
759,chargers,11.99,11.99
760,charges,10.49,10.49
761,charging,10.49,10.49
762,charities,8.95,8.95
763,charity,1.25,1.25
764,chart,14.89,14.89
765,charter,6.95,6.95
766,charts,8.99,8.99
767,chase,39.99,39.99
768,chased,"['$178.0', '$250.0', '$317.0', '$550.0']",323.75
769,chases,2.0,2.0
770,chasing,56.88,56.88
771,chat,7.99,7.99
772,chatting,7.99,7.99
773,cheap,48.95,48.95
774,cheaper,3.54,3.54
775,cheat,6.15,6.15
776,cheaters,13.98,13.98
777,check,33.48,33.48
778,checked,18.0,18.0
779,checking,4.74,4.74
780,checklist,1.49,1.49
781,checks,34.99,34.99
782,cheer,14.99,14.99
783,chest,39.99,39.99
